kind,N,draw,knn10,nn1,cov,frac_zero
random,10,0,0.9154431221404062,0.6617926353405077,0.0,1.0
random,10,1,0.9266567764890321,0.6424203318580378,0.0,1.0
random,10,2,0.8937759186422226,0.6653483134008755,0.0,1.0
random,10,3,0.9970141292288357,0.5936639030059616,0.0,1.0
random,10,4,0.9145741524928743,0.6425495959713101,0.0,1.0
random,10,5,0.9527329619149182,0.6409138461514209,0.0,1.0
random,10,6,0.9409418886663146,0.6462352675410772,0.0,1.0
random,10,7,0.9053762810856512,0.574064699984539,0.012574098513559097,0.963718820861678
random_spread_knn10,10,-1,0.05707239329144733,0.030621985940772492,,
random_spread_nn1,10,-1,0.1047206782406863,0.03023398250828042,,
random_spread_cov,10,-1,0.004158492203463037,0.004158492203463038,,
random,25,0,0.7285194466958776,0.5676296037763291,0.0,1.0
random,25,1,0.7500594242581929,0.5516023024481607,0.0,1.0
random,25,2,0.7567510024332222,0.49962588906381694,0.0011788217356461653,0.9965986394557823
random,25,3,0.7523911725483434,0.5662041084590943,0.0,1.0
random,25,4,0.7209312676732531,0.5195565266129873,0.0023576434712923307,0.9931972789115646
random,25,5,0.7548791325365287,0.5675837915543692,0.0,1.0
random,25,6,0.7392289613200254,0.5193065234462348,0.0,1.0
random,25,7,0.7493448601057553,0.5183130414009453,0.0,1.0
random_spread_knn10,25,-1,0.04355930073215904,0.012304546330113785,,
random_spread_nn1,25,-1,0.08600316816053279,0.025688344544918428,,
random_spread_cov,25,-1,0.0011695759322239794,0.000820425206232519,,
random,50,0,0.6544006724747096,0.46780391761343787,0.0,1.0
random,50,1,0.670539640081454,0.46868588168153646,0.022397612977277145,0.9444444444444444
random,50,2,0.660818899726802,0.48222028699618347,0.011788217356461652,0.9659863945578231
random,50,3,0.6355692704061388,0.421019754647608,0.03978449682864189,0.9308390022675737
random,50,4,0.6596488953619287,0.5026926621853495,0.0,1.0
random,50,5,0.6579180959585673,0.45417261757057414,0.006679989835328271,0.9829931972789115
random,50,6,0.6536154213963815,0.4687455865437871,0.0,1.0
random,50,7,0.6554881749390011,0.5042502432706248,0.0,1.0
random_spread_knn10,50,-1,0.03736322497535537,0.009202833788542187,,
random_spread_nn1,50,-1,0.0864546244334198,0.025093376005789314,,
random_spread_cov,50,-1,0.020356035472552745,0.013486031586666418,,
random,100,0,0.5680578447513048,0.38077657252956026,0.003536465206938496,0.9897959183673469
random,100,1,0.5924891299890257,0.4181852752614753,0.012574098513559097,0.9659863945578231
random,100,2,0.5805128415624368,0.42243810234065027,0.003536465206938496,0.9897959183673469
random,100,3,0.5592079930508767,0.38876919439506685,0.02267237668249477,0.9512471655328798
random,100,4,0.5827419618250094,0.39401382913484845,0.03305191679984758,0.9285714285714286
random,100,5,0.6030216494805173,0.4392719928216245,0.018075266613241204,0.9489795918367347
random,100,6,0.5843782212888713,0.41438624390697804,0.0,1.0
random,100,7,0.5904637748584941,0.41643883718677976,0.012181157935010374,0.9648526077097506
random_spread_knn10,100,-1,0.0347227061558138,0.012956058734994615,,
random_spread_nn1,100,-1,0.06772891991354785,0.01835577630931317,,
random_spread_cov,100,-1,0.028985777284645624,0.010428508103835834,,
random,200,0,0.4953422318003865,0.34074264865799553,0.05108227521133383,0.8707482993197279
random,200,1,0.4956732406500759,0.3452374658698526,0.023576434712923307,0.935374149659864
random,200,2,0.5121546284341278,0.3507463140879149,0.0306493651268003,0.9240362811791383
random,200,3,0.5029511854591758,0.3573516122116045,0.0290852848043165,0.9319727891156463
random,200,4,0.5120106273742288,0.3613610117254071,0.02121879124163098,0.9410430839002267
random,200,5,0.526500315980497,0.36943419066199795,0.022397612977277145,0.9387755102040817
random,200,6,0.5107169797788695,0.35224841189812667,0.029077602812605415,0.9308390022675737
random,200,7,0.49272688016267413,0.33532957581767464,0.07473316234434486,0.8174603174603174
random_spread_knn10,200,-1,0.031847583308673294,0.010736737076578556,,
random_spread_nn1,200,-1,0.05670058210279175,0.010432170099874195,,
random_spread_cov,200,-1,0.04666404946919895,0.017339174794707934,,
random,400,0,0.4473055375454623,0.3127145896234151,0.06092883565018514,0.873015873015873
random,400,1,0.44004679181268525,0.3117642442597404,0.04133321316770351,0.9002267573696145
random,400,2,0.4481280053911588,0.30081819952741096,0.06485824143567236,0.8469387755102041
random,400,3,0.4376249643776445,0.2986632552503937,0.06053589507163641,0.8605442176870748
random,400,4,0.4413670348591791,0.29339962910237277,0.07537900440148952,0.8321995464852607
random,400,5,0.4442663299113143,0.31189465837459757,0.07123392334745023,0.8378684807256236
random,400,6,0.4435307339122178,0.29951534482774655,0.05226109694698,0.8605442176870748
random,400,7,0.45186480456862627,0.312020712707712,0.05659880729443811,0.86281179138322
random_spread_knn10,400,-1,0.02194415857826298,0.0043695735958555046,,
random_spread_nn1,400,-1,0.04013797980096281,0.007282773452850368,,
random_spread_cov,400,-1,0.0517662760702557,0.010038370500573294,,
random,800,0,0.39021954213923266,0.2674008189411897,0.1218476167816923,0.7845804988662132
random,800,1,0.3865927076559925,0.2666037236109527,0.09495158090883787,0.7925170068027211
random,800,2,0.3933200283384191,0.27369157599976923,0.1093798874335206,0.7732426303854876
random,800,3,0.3939634699485472,0.2762315485785181,0.09757521306029776,0.8219954648526077
random,800,4,0.3843254885493552,0.26640058585315746,0.129849711884564,0.7766439909297053
random,800,5,0.3829483238445413,0.26258542371215604,0.12483263030780997,0.7653061224489796
random,800,6,0.38699911614264,0.2668621523810087,0.13225798061100577,0.746031746031746
random,800,7,0.38710439975130195,0.26723575712053116,0.08578808873717511,0.828798185941043
random_spread_knn10,800,-1,0.01673175278988336,0.0037303921514883712,,
random_spread_nn1,800,-1,0.029810040749922044,0.00410916437676822,,
random_spread_cov,800,-1,0.0667120516307828,0.0165199620810852,,
random,1796,0,0.33311994758505387,0.2306332626688105,0.2139592266764623,0.655328798185941
cluster0_on_0,25,0,0.4315136012886303,0.23936647113484563,0.12879248073268107,0.7211538461538461
cluster0_on_1,25,0,1.077929978393078,1.0240879328493109,0.0,1.0
cluster0_on_2,25,0,0.7745059544597075,0.6813687705585119,0.0,1.0
cluster0_on_0,50,0,0.33878069550981593,0.20595608670625262,0.24943798552824967,0.5897435897435898
cluster0_on_1,50,0,1.0616964552022805,1.0128805422635097,0.0,1.0
cluster0_on_2,50,0,0.746120946575131,0.6769160587370413,0.0,1.0
cluster0_on_0,104,0,0.28098484121031486,0.17652291465327727,0.4062303141759676,0.4775641025641026
cluster0_on_1,104,0,1.028506300590255,0.9881832191091968,0.0,1.0
cluster0_on_2,104,0,0.7234446232510288,0.6701749478621284,0.0,1.0
cluster1_on_0,25,0,1.0498773189028667,0.9775824331766071,0.0,1.0
cluster1_on_1,25,0,0.6274968597574716,0.41736276201847977,0.03544502627863356,0.9053030303030303
cluster1_on_2,25,0,1.0062023998879293,0.9217940491517485,0.0,1.0
cluster1_on_0,50,0,0.9632533979878406,0.891861834570209,0.0,1.0
cluster1_on_1,50,0,0.5605349282597724,0.3854700008366554,0.047260035038178085,0.8712121212121212
cluster1_on_2,50,0,0.9261016942739488,0.8387900334617776,0.0,1.0
cluster1_on_0,87,0,0.9481074580816325,0.8909993675787786,0.0,1.0
cluster1_on_1,87,0,0.4942967599249465,0.3412882018640863,0.08473839153326206,0.8295454545454546
cluster1_on_2,87,0,0.9025119411867726,0.8328178555766975,0.0,1.0
cluster2_on_0,25,0,0.8013813414182265,0.7053293116114199,0.0,1.0
cluster2_on_1,25,0,1.0257025623390101,0.9173626521039514,0.0,1.0
cluster2_on_2,25,0,0.4603577103900416,0.30959554753100016,0.035110396400912264,0.8986928104575164
cluster2_on_0,50,0,0.7522165387275972,0.6835738070044994,0.0,1.0
cluster2_on_1,50,0,0.991676653744421,0.8804943743452659,0.0,1.0
cluster2_on_2,50,0,0.394319121943704,0.27224664597974263,0.060027451911237095,0.8398692810457516
cluster2_on_0,101,0,0.7209602148233226,0.6618319568486131,0.0,1.0
cluster2_on_1,101,0,0.9610657931468266,0.8695072241418448,0.0,1.0
cluster2_on_2,101,0,0.34819313820080283,0.23829532941767922,0.073618573098687,0.8006535947712419
