N,diag,off,own_minus_others,sem,frac_pos
all,0.1454722343005468,0.13232705279572163,0.013331849269501332,0.0017170240415999671,0.6428571428571429
n50,0.15642197299170882,0.1379583470441767,0.019032318120750503,0.0017845041647829938,0.6473922902494331
n25,0.16661277006265865,0.14387255419695746,0.022823433456821002,0.0021217560450114215,0.645124716553288
