trial,dAB,dist2000,pre,ft2000
chair_c0_c0f2673cb32574014e972edcee1ee23_0,0.3280252935900221,0.2113114105620374,0.1652801930904388,0.2371997833251953
chair_c0_c0f2673cb32574014e972edcee1ee23_1,0.27825201700770685,0.1689136568062317,-0.0361708998680114,0.1156729161739349
chair_c0_c0f2673cb32574014e972edcee1ee23_2,0.32193544323518886,0.1913788432536014,-0.0607917010784149,0.1028567254543304
chair_c0_dbf5ea40382c5efed30107faf024a18b_0,0.32878929922761047,0.172488277626757,0.1052289009094238,0.2856848835945129
chair_c0_dbf5ea40382c5efed30107faf024a18b_1,0.3239822582278802,0.1611254982439424,-0.0309948921203613,0.013731300830841
chair_c0_dbf5ea40382c5efed30107faf024a18b_2,0.3488122460182441,0.1928476833361321,0.0420413017272949,0.0179274082183837
chair_c0_c50c2887ba2b5535c32fd7e88552aa9_0,0.44063768044172624,0.2527855082673083,-0.0361590385437011,-0.0108662247657775
chair_c0_c50c2887ba2b5535c32fd7e88552aa9_1,0.5182612052673661,0.2225666780724365,-0.0961970686912536,-0.041012167930603
chair_c0_c50c2887ba2b5535c32fd7e88552aa9_2,0.43610287645990486,0.2824127058642139,0.0444910526275634,0.1616668999195099
chair_c0_1b8e84935fdc3ec82be289de70e8db31_0,0.3883996811962249,0.239590847592599,0.106860339641571,0.0702695250511169
chair_c0_1b8e84935fdc3ec82be289de70e8db31_1,0.3858082966160652,0.2432151136963496,0.1175865530967712,0.2272844314575195
chair_c0_1b8e84935fdc3ec82be289de70e8db31_2,0.35792349532321843,0.208527572585695,0.0387850999832153,0.0876414775848388
chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_0,0.1735185754951979,0.1768561843896235,0.0494109988212585,0.0953207314014434
chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_1,0.24298008311513208,0.1688457404645392,0.0262672305107116,0.110440194606781
chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_2,0.2560057033939638,0.1737075243673108,-0.0230713486671447,-0.0014137625694274
chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_0,0.10537794760498898,0.1147037806441162,0.0703915357589721,0.0808164477348327
chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_1,0.1874375156273307,0.1247126475171482,0.0139998793601989,0.0349076390266418
chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_2,0.10537794760498898,0.1147037806441162,0.057830274105072,0.1596270203590393
