kind,name,N,note,bank_all,bank_own,bank_other,mochi,bank_pre,mochi_pre
cluster,chair_c0_n25,25,,0.1428906798295153,0.14826854104653764,0.13994700842651359,0.14112111705502398,0.07875376677905079,0.08128618056836878
cluster,chair_c0_n50,50,,0.14274329589700957,0.14485417602536005,0.14158786677412297,0.1468532715777033,0.07875376677905079,0.08128618056836878
cluster,chair_c0_all,97,104 chairs,0.13281130716162404,0.12993160967165837,0.13438756262981574,0.13627997540721762,0.07875376677905079,0.08128618056836878
cluster,chair_c1_n25,25,,0.14049441232071458,0.18575790065347753,0.12115855322710711,0.15415916531836907,0.07875376677905079,0.08128618056836878
cluster,chair_c1_n50,50,,0.1313149698180001,0.1678454918561108,0.11570969826773918,0.14033417612020122,0.07875376677905079,0.08128618056836878
cluster,chair_c1_all,97,87 chairs,0.12661232920511375,0.16003447541063934,0.11233490752508339,0.1366213842442161,0.07875376677905079,0.08128618056836878
cluster,chair_c2_n25,25,,0.1676969604475356,0.16581186848796076,0.16869841555105974,0.17518828404871256,0.07875376677905079,0.08128618056836878
cluster,chair_c2_n50,50,,0.15527500826316357,0.15656625109365563,0.15458903550946465,0.16137362869554442,0.07875376677905079,0.08128618056836878
cluster,chair_c2_all,97,101 chairs,0.1479318922326442,0.14645061781934268,0.14871881926471056,0.15932031196395033,0.07875376677905079,0.08128618056836878
seed,chair_c0_all_s43,97,seed replicate of chair_c0_all,0.1311368999407202,0.1278363301729162,0.1329435276030971,0.13684712967982415,0.07875376677905079,0.08128618056836878
seed,chair_c0_all_s44,97,seed replicate of chair_c0_all,0.13144145322469422,0.12851982410901627,0.13304066074064427,0.1357224329717849,0.07875376677905079,0.08128618056836878
random,chair_random_100_0,100,,0.15190375191972605,,,0.17332450288200849,0.07875376677905079,0.08128618056836878
random,chair_random_100_1,100,,0.14865215212505842,,,0.16466082059043016,0.07875376677905079,0.08128618056836878
random,chair_random_100_2,100,,0.15010165763742242,,,0.1654642271613212,0.07875376677905079,0.08128618056836878
random,chair_random_100_3,100,,0.15410718262615844,,,0.16955139831100635,0.07875376677905079,0.08128618056836878
random,chair_random_100_4,100,,0.153155183409026,,,0.17301407108377467,0.07875376677905079,0.08128618056836878
random,chair_random_100_5,100,,0.14527960285088237,,,0.1621769155914846,0.07875376677905079,0.08128618056836878
random,chair_random_100_6,100,,0.14340437609541848,,,0.15711196423753312,0.07875376677905079,0.08128618056836878
random,chair_random_100_7,100,,0.14298050620016597,,,0.16008716076612467,0.07875376677905079,0.08128618056836878
knockout,chair_g1_k10,1821,,0.1371877485096387,,,0.15258658780275206,0.07875376677905079,0.08128618056836878
knockout,chair_g2_k10,1821,,0.13879739400421748,,,0.1554863266156692,0.07875376677905079,0.08128618056836878
knockout,chair_g3_k10,1821,,0.13826089363139707,,,0.15456732798759876,0.07875376677905079,0.08128618056836878
knockout,chair_g4_k10,1821,,0.13887430637939718,,,0.15460166737045108,0.07875376677905079,0.08128618056836878
knockout,chair_random_k10,1825,,0.13874598481648026,,,0.154809223880109,0.07875376677905079,0.08128618056836878
full,chair_full,2000,,0.13833239043549617,,,0.15471430769876426,0.07875376677905079,0.08128618056836878
