trial,category,blind_k1,blind_k10,blind_k50,blind_k200
shapenet2,airplane,0.8444547653198242,0.9202707409858704,0.9894192814826965,1.0685741901397705
shapenet3,airplane,0.3425180912017822,0.3478950560092926,0.35916435718536377,0.3948444128036499
shapenet4,airplane,6.429354107240215e-05,0.023123199120163918,0.042854193598032,0.0637984573841095
shapenet5,airplane,0.6942647099494934,0.73736971616745,0.8101504445075989,0.8834754824638367
shapenet6,airplane,0.12092471122741699,0.1474449336528778,0.1678570955991745,0.2123630791902542
shapenet10,airplane,0.9257665276527405,0.9489445686340332,0.9634658694267273,0.9778659343719482
shapenet11,airplane,0.05606198310852051,0.09332024306058884,0.1241481602191925,0.17173855006694794
shapenet13,airplane,0.010018904693424702,0.02026742696762085,0.037565793842077255,0.07211922854185104
shapenet15,airplane,1.0321511030197144,1.0912038087844849,1.1484307050704956,1.2050471305847168
shapenet18,airplane,0.5263177752494812,0.8646438717842102,0.989057719707489,1.0885229110717773
shapenet19,airplane,0.8618324398994446,0.875932514667511,0.888375997543335,0.901852548122406
shapenet20,airplane,0.046103280037641525,0.05203237012028694,0.06629806756973267,0.11317912489175797
shapenet22,airplane,0.6869609355926514,0.7217594981193542,0.7571257948875427,0.8039421439170837
shapenet23,airplane,0.914029598236084,1.006583333015442,1.121772289276123,1.244138240814209
shapenet24,airplane,0.8045303225517273,0.9201255440711975,0.9874746799468994,1.0461344718933105
shapenet25,airplane,0.7211165428161621,0.7240048050880432,0.7315967679023743,0.7511624693870544
shapenet26,airplane,0.2591489851474762,0.33691391348838806,0.43033385276794434,0.5170352458953857
shapenet28,airplane,0.023014983162283897,0.023324986919760704,0.030715325847268105,0.04476751759648323
shapenet35,airplane,0.7122308611869812,0.718981921672821,0.7285096049308777,0.7505316734313965
shapenet37,airplane,0.7009584307670593,0.7228928208351135,0.7451674342155457,0.7750691771507263
shapenet41,airplane,1.1007064580917358,1.1308491230010986,1.1809024810791016,1.2338019609451294
shapenet42,airplane,0.957448422908783,1.056958794593811,1.1590341329574585,1.2653359174728394
shapenet46,airplane,0.43720677495002747,0.514603316783905,0.5329410433769226,0.5640661120414734
shapenet49,airplane,0.10325082391500473,0.13966064155101776,0.17188990116119385,0.20172230899333954
shapenet50,airplane,0.8876301646232605,0.9448003172874451,0.9996992945671082,1.055335521697998
shapenet53,airplane,0.3088165819644928,0.6847584843635559,0.8386927247047424,0.9230578541755676
shapenet55,airplane,0.8588066101074219,0.8730933666229248,0.883549690246582,0.8992469906806946
shapenet57,airplane,0.8607292175292969,0.9952457547187805,1.087766170501709,1.1989632844924927
shapenet62,airplane,1.059861660003662,1.1145610809326172,1.1747949123382568,1.2416921854019165
shapenet71,airplane,0.0018291473388671875,0.02050275355577469,0.044035330414772034,0.08256634324789047
shapenet72,airplane,1.808007618819829e-05,0.0018134672427549958,0.018336990848183632,0.043357640504837036
shapenet73,airplane,0.1758042424917221,0.20324872434139252,0.2190341353416443,0.260799765586853
shapenet74,airplane,0.44416821002960205,0.44800376892089844,0.45864176750183105,0.4898575246334076
shapenet75,airplane,2.1457672119140625e-05,0.009890196844935417,0.028067225590348244,0.048540566116571426
shapenet80,airplane,0.7257326245307922,0.7420551776885986,0.7513896822929382,0.7714662551879883
shapenet82,airplane,0.11853226274251938,0.13364939391613007,0.1528746634721756,0.19866985082626343
shapenet83,airplane,0.9510402679443359,1.0362026691436768,1.0951892137527466,1.1420104503631592
shapenet86,airplane,0.11236754804849625,0.11871873587369919,0.13352414965629578,0.17853707075119019
shapenet87,airplane,0.006162742618471384,0.018193330615758896,0.034848276525735855,0.056194696575403214
shapenet90,airplane,0.06667407602071762,0.08514740318059921,0.09965533018112183,0.14514388144016266
shapenet91,airplane,0.947607696056366,1.0343228578567505,1.137877345085144,1.243384838104248
shapenet97,airplane,0.28065845370292664,0.5110149383544922,0.6828393340110779,0.7917553782463074
shapenet101,airplane,0.2341701239347458,0.2458178997039795,0.26197320222854614,0.30523180961608887
shapenet102,airplane,0.3650846481323242,0.42073485255241394,0.4639623463153839,0.5127660632133484
shapenet103,airplane,0.00014130274939816445,0.02094724029302597,0.03930710256099701,0.061911385506391525
shapenet104,airplane,0.03535379841923714,0.03931921720504761,0.04748299717903137,0.06583356112241745
shapenet107,airplane,0.3369549512863159,0.6407896280288696,0.7891425490379333,0.883415937423706
shapenet110,airplane,0.13951021432876587,0.19145642220973969,0.23321717977523804,0.2873060703277588
shapenet112,airplane,0.9940145015716553,1.0934245586395264,1.173343300819397,1.2498502731323242
shapenet115,airplane,0.8360550999641418,0.8599799275398254,0.8753423094749451,0.8941421508789062
shapenet116,airplane,0.3135465681552887,0.4529048502445221,0.5807998180389404,0.6831369996070862
shapenet118,airplane,0.6895947456359863,0.6923568248748779,0.6992529034614563,0.7176787257194519
shapenet119,airplane,0.8985519409179688,1.0111823081970215,1.038981318473816,1.0528334379196167
shapenet120,airplane,0.09080306440591812,0.09703266620635986,0.11178219318389893,0.15747980773448944
shapenet123,airplane,0.4522971212863922,0.4617336690425873,0.4733266830444336,0.5056583285331726
shapenet124,airplane,0.31601813435554504,0.5483464598655701,0.71392422914505,0.8158689141273499
shapenet125,airplane,0.776087760925293,0.921027660369873,1.0336766242980957,1.1398088932037354
shapenet126,airplane,0.061258453875780106,0.06586095690727234,0.07988357543945312,0.12582792341709137
shapenet128,airplane,0.2669164836406708,0.2816878855228424,0.29344579577445984,0.32651007175445557
shapenet129,airplane,0.02279786206781864,0.029807446524500847,0.045608118176460266,0.08749217540025711
shapenet133,airplane,0.16906698048114777,0.18656408786773682,0.20420044660568237,0.24449259042739868
shapenet134,airplane,1.0366226434707642,1.0707846879959106,1.1086238622665405,1.148676872253418
shapenet136,airplane,0.2656393349170685,0.3523237705230713,0.42992115020751953,0.5186104774475098
shapenet142,airplane,0.08586428314447403,0.09884495288133621,0.1141727864742279,0.16019998490810394
shapenet144,airplane,0.9754905104637146,1.1233118772506714,1.208858609199524,1.284011721611023
shapenet148,airplane,0.25759074091911316,0.43382206559181213,0.5393076539039612,0.6000285148620605
