cat,contrast,sem,frac_neg,n
chair,-0.0005682294355019166,0.0004184807956988451,0.5657894736842105,76
airplane,-0.0005525528612706046,0.0004092760081156617,0.5495495495495496,111
table,9.086489677429189e-05,0.0007120104332480286,0.54,50
