measure,pooled_R2,loo_R2,loo_worst,within_trial_r,cat_spread,distance_swing,spread_over_swing
"voxel16 · cosine, z-scored + unit rows (used so far)",0.010504615975568399,-0.07073330594129414,-0.2326111156968944,-0.1353688260610864,0.07895857687546877,0.03547749822192135,2.2255959645621433
voxel16 · RAW Euclidean (keeps magnitude),0.016383918889099736,-0.06723460985031153,-0.2126309973265197,-0.125236638789542,0.09653950845641351,0.0443802078658379,2.175282926755414
voxel16 · 1 − IoU (overlap of the two shapes),0.00488872729230061,-0.07651857001484995,-0.2581534124980718,-0.12762227615199984,0.08676081196141039,0.021174448263442988,4.097429641706423
voxel16 · cosine on RAW occupancy (no z-scoring),0.0020223384624380447,-0.07942500439200818,-0.27139392773581883,-0.15616451160099756,0.08219193802464081,0.01588630259251829,5.173761329672104
bbox · RAW Euclidean (physical proportions),0.0005197683895701299,-28.264727775251497,-338.215236335749,-0.0018934691511246096,0.07874551598174173,2.1869776967972786e-08,3600654.7344794907
"bbox · cosine, z-scored + unit rows",0.001100141684016065,-0.07921084280523037,-0.27968710613287295,-0.11761892768645137,0.0892360833939772,0.011326330849075014,7.87864000999625
"dinov2 · cosine, z-scored + unit rows (search winner)",0.0024334185089505134,-0.08072184417414299,-0.2864552902233912,-0.2504716454101275,0.09364070513390059,0.017685339986779017,5.294820750062104
dinov2 · RAW Euclidean (keeps feature magnitude),0.003509923987613739,-0.07827996565866187,-0.26442027859696204,-0.2243870965468408,0.09237563109479804,0.021720325182685633,4.252958015952511
dinov2 · cosine on RAW features,0.001371704784031258,-0.08186592420104369,-0.27641747474661815,-0.2326669391129737,0.09425594423911351,0.01346560260280799,6.99975686342164
