model,trial,knn10,nn1,cov,margin,pre
0,shapenet19,0.5469138361111341,0.42066541177549555,0.0,0.2065982222557068,0.0506070256233215
0,shapenet22,0.3875292681684689,0.18731851614350598,0.0,0.3045578002929687,0.1911990642547607
0,shapenet25,0.453088414158055,0.3205132336851039,0.0,0.307587206363678,0.2099207639694214
0,shapenet74,0.46085694612638434,0.3995337881883454,0.0,-0.0520271658897399,-0.0312279462814331
0,shapenet118,0.39706363836377634,0.2882780580820404,0.0,0.0347686409950256,0.0405457615852355
0,shapenet119,0.6171234735314741,0.48499102338182853,0.0,-0.0384088158607482,-0.0691739320755004
0,shapenet126,0.14901493425851448,0.07944193822476275,1.2424533248940002,0.1155682802200317,-0.0086699128150939
0,shapenet184,0.3928855373190596,0.3343306648857496,0.0,0.1749759167432785,0.0380235612392425
0,shapenet186,0.6434055365493718,0.40704549450710603,0.0,0.4263445641845464,0.2805328369140625
0,shapenet204,0.4463167119689917,0.3447285406546144,0.0,0.2434431910514831,0.0291332602500915
0,shapenet232,0.5659040968475886,0.2798071462100218,0.0,0.2841332256793976,0.153318852186203
0,shapenet260,0.42584498495998246,0.20608227847784238,0.0,0.2378606349229812,0.0861707031726837
0,shapenet262,0.5819161126540083,0.40466267682792434,0.0,-0.0196862816810607,-0.1050140261650085
0,shapenet268,0.5673749367260661,0.3435046141652799,0.0,0.0359754860401153,-0.0165807008743286
0,shapenet271,0.40117126963959093,0.29999984326113127,0.0,0.1310463547706604,0.066796600818634
0,shapenet289,0.5157650282897285,0.26909680340280945,0.0,0.1451470255851745,0.0571181178092956
0,shapenet304,0.4731976046724996,0.2946903815832609,0.0,0.3856854736804962,0.2207829654216766
0,shapenet307,0.17751472941655316,0.06055216076498876,0.34657359027997264,0.132579892873764,0.0181713700294494
0,shapenet359,0.2731148071820091,0.20177023285405865,0.0,-0.0644553899765014,-0.0478737950325012
0,shapenet372,0.3609570903254777,0.2606957759219234,0.0,0.0896278917789459,-0.066386193037033
0,shapenet379,0.529873990337254,0.28384334324350835,0.0,0.1913220584392547,0.1614040732383728
0,shapenet388,0.4542791091650263,0.23701733038419032,0.8958797346140275,0.1133593320846557,0.0488551259040832
0,shapenet453,0.3150479445014578,0.26628112429059225,0.0,0.2671882510185241,0.0975065231323242
0,shapenet478,0.5045372280993367,0.4258237247095197,0.0,0.3975048884749412,0.3121097087860107
0,shapenet482,0.6271941566563499,0.5301392205483282,0.0,0.2038649916648864,0.1997835636138916
0,shapenet518,0.6062320859225256,0.38866086880586703,0.0,0.2124315500259399,0.0327659845352172
0,shapenet529,0.3712157199774071,0.15592667379194836,0.0,0.0950658619403839,-0.0335785150527954
0,shapenet535,0.4077006348241681,0.2543956841959944,0.0,0.022024393081665,-0.0375724732875824
0,shapenet580,0.5872540294822945,0.35252733633460404,0.0,0.1452221423387527,0.0883298516273498
0,shapenet592,0.453088414158055,0.3205132336851039,0.0,0.2811865210533142,0.1592598855495453
0,shapenet608,0.5469138361111341,0.42066541177549555,0.0,0.1271980702877044,0.1172828674316406
0,shapenet616,0.6171234735314741,0.48499102338182853,0.0,0.1613346338272094,0.144422709941864
0,shapenet666,0.39706363836377634,0.2882780580820404,0.0,0.2441263198852539,0.120289921760559
0,shapenet683,0.46085694612638434,0.3995337881883454,0.0,0.0312641859054565,0.0489208102226257
0,shapenet686,0.3875292681684689,0.18731851614350598,0.0,0.1915133595466613,0.064503788948059
0,shapenet697,0.5872540294822945,0.35252733633460404,0.0,0.2568371295928955,0.0468218922615051
0,shapenet732,0.14901493425851448,0.07944193822476275,1.2424533248940002,0.0566022992134094,0.0310443639755249
0,shapenet740,0.5425596518003238,0.35355726005425403,0.0,0.3209638297557831,0.1906965374946594
0,shapenet759,0.46794304389250163,0.31639649831855005,0.0,0.062149167060852,-0.0092963576316833
0,shapenet782,0.33072139678271006,0.2034008413239487,0.0,0.1490010619163513,0.0130805373191833
0,shapenet808,0.2191203235159617,0.12602551821700636,0.34657359027997264,-0.0182081460952758,0.0088021755218505
0,shapenet820,0.4778693056378489,0.2762649839724407,0.0,0.2693302035331726,0.1661158204078674
0,shapenet840,0.6023157189397573,0.41994752894687176,0.0,0.1644619107246399,0.0693280100822448
0,shapenet846,0.3750148432103386,0.1532695100521314,0.34657359027997264,0.3263085931539535,0.102748155593872
0,shapenet867,0.5444230710347886,0.39143187949778785,0.0,0.397706463932991,0.2905645370483398
